scoring,score,irr,nir,n_promotions,n_trials,best_params
roc_auc,0.6625466959622638,0.01886722416609381,341.79999999999995,18058,5000,"{'max_depth': 4, 'learning_rate': 0.013634124085017149, 'n_estimators': 15, 'gamma': 0.30724055467730915, 'subsample': 0.7564893337009648, 'colsample_bytree': 0.8604548671335996, 'reg_alpha': 5.785626689333163, 'reg_lambda': 0.18808429721324327, 'min_child_weight': 165}"
make_scorer(treat_score),0.02780094450395622,0.019580172031892933,364.4000000000001,16311,5000,"{'max_depth': 4, 'learning_rate': 0.027560174739662907, 'n_estimators': 12, 'gamma': 0.3127337338608579, 'subsample': 0.5543672209598938, 'colsample_bytree': 0.731341029945977, 'reg_alpha': 6.4223017111613245, 'reg_lambda': 1.5834406740555174, 'min_child_weight': 161}"
make_scorer(irr_score),0.018679007705105055,0.01955412655383499,380.04999999999995,17196,5000,"{'max_depth': 3, 'learning_rate': 0.026294907315688263, 'n_estimators': 45, 'gamma': 0.5537781934759377, 'subsample': 0.5198057215669832, 'colsample_bytree': 0.7697439139969888, 'reg_alpha': 7.722639793149915, 'reg_lambda': 4.235865553442525, 'min_child_weight': 84}"
